DEPTH,RHOB,DT,GR,AI,AI_REL,PHIE,MD,VP
48.0,,524.0485,,3820257.0,-455.6956,,48.0,15965137.5525
48.15,,524.041,,3820311.75,-455.6956,,48.15,15964909.065000001
48.3,,524.0336,,3820366.25,-455.6956,,48.3,15964683.624
48.45,,524.0262,,3820419.75,-455.6956,,48.45,15964458.183
48.6,,524.019,,3820472.25,-455.6956,,48.6,15964238.835
48.75,,524.0117,,3820525.75,-455.6956,,48.75,15964016.4405
48.9,,524.0042,,3820580.0,-455.6956,,48.9,15963787.953
49.05,,523.9968,,3820634.25,-455.6956,,49.05,15963562.512
49.2,,523.9893,,3820688.75,-455.6956,,49.2,15963334.0245
49.35,,523.9819,,3820742.75,-455.6956,,49.35,15963108.5835
49.5,,523.9745,,3820796.5,-455.6956,,49.5,15962883.142500002
49.65,,523.9673,,3820849.0,-455.6956,,49.65,15962663.7945
49.8,,523.96,,3820902.75,-455.6956,,49.8,15962441.4
49.95,,523.9526,,3820956.75,-455.6956,,49.95,15962215.958999999
50.1,,523.9451,3.0703,3821010.75,-455.6956,,50.1,15961987.4715
50.25,,523.9377,2.7441,3821064.75,-455.6956,,50.25,15961762.030499998
50.4,,523.9304,2.6564,3821118.75,-455.6956,,50.4,15961539.635999998
50.55,,523.9229,2.6521,3821173.25,-455.6956,,50.55,15961311.148500001
50.7,,523.9157,2.032,3821225.5,-455.6956,,50.7,15961091.8005
50.85,,523.9084,1.7953,3821279.25,-455.6956,,50.85,15960869.406000001
51.0,,523.9009,1.4786,3821333.25,-455.6956,,51.0,15960640.918499999
51.15,,523.8935,1.3392,3821387.5,-455.6956,,51.15,15960415.477500001
51.3,,523.886,1.3392,3821441.75,-455.6956,,51.3,15960186.989999998
51.45,,523.8787,1.7285,3821496.0,-455.6956,,51.45,15959964.5955
51.6,,523.8712,2.9567,3821550.5,-467.6833,,51.6,15959736.108000001
51.75,,523.864,4.0153,3821603.0,-483.7122,,51.75,15959516.760000002
51.9,,523.8567,4.4301,3821656.0,-489.4421,,51.9,15959294.365500001
52.05,,523.8492,4.7036,3821710.5,-489.4421,,52.05,15959065.878
52.2,,523.8419,4.8807,3821764.25,-489.4421,,52.2,15958843.4835
52.35,,523.8344,5.109,3821818.75,-489.4421,,52.35,15958614.996
52.5,,523.827,5.2881,3821873.0,-489.4421,,52.5,15958389.555
52.65,,523.8196,5.3052,3821927.0,-489.4421,,52.65,15958164.114000002
52.8,,523.8121,5.3052,3821981.0,-489.4421,,52.8,15957935.6265
52.95,,523.8049,5.4608,3822034.25,-489.4421,,52.95,15957716.2785
53.1,,523.7976,5.6249,3822087.5,-489.4421,,53.1,15957493.884
53.25,,523.7902,5.31,3822141.25,-489.4421,,53.25,15957268.443
53.4,,523.7828,4.4738,3822195.25,-489.4421,,53.4,15957043.001999998
53.55,,523.7753,3.8929,3822249.5,-489.4421,,53.55,15956814.5145
53.7,,523.7679,3.8929,3822303.75,-489.4421,,53.7,15956589.073500002
53.85,,523.7604,4.295,3822358.25,-489.4421,,53.85,15956360.586000001
54.0,,523.7532,4.9152,3822411.25,-489.4421,,54.0,15956141.238
54.15,,523.746,4.9152,3822464.0,-489.4421,,54.15,15955921.889999999
54.3,,523.7385,4.9395,3822518.5,-489.4421,,54.3,15955693.402500002
54.45,,523.7311,4.8545,3822572.5,-489.4421,,54.45,15955467.961499998
54.6,,523.7236,4.5323,3822627.0,-489.4421,,54.6,15955239.474000001
54.75,,523.7162,4.2718,3822681.0,-489.4421,,54.75,15955014.032999998
54.9,,523.7089,3.9225,3822735.0,-489.4421,,54.9,15954791.6385
55.05,,523.7015,3.8972,3822788.75,-489.4421,,55.05,15954566.1975
55.2,,523.6943,3.6836,3822841.0,-489.4421,,55.2,15954346.8495
55.35,,523.6869,3.2261,3822895.25,-483.2274,,55.35,15954121.4085
55.5,,523.6795,3.1693,3822949.25,-434.0392,,55.5,15953895.9675
55.65,,523.6721,3.1693,3823003.5,-327.9609,,55.65,15953670.5265
55.8,,523.6646,3.1953,3823058.0,-327.9609,,55.8,15953442.038999999
55.95,,523.6572,3.31,3823112.25,-327.9609,,55.95,15953216.598
56.1,,523.6498,3.4477,3823166.25,-327.9609,,56.1,15952991.157000002
56.25,,523.6427,4.3455,3823218.0,-327.9609,,56.25,15952774.8555
56.4,,523.6353,5.5534,3823272.0,-327.9609,,56.4,15952549.414500002
56.55,,523.6279,6.1277,3823326.25,-327.9609,,56.55,15952323.973499998
56.7,,523.6204,6.1491,3823380.75,-327.9609,,56.7,15952095.486000001
56.85,,523.6129,6.3564,3823435.25,-327.9609,,56.85,15951866.998499999
57.0,,523.6055,6.1211,3823489.25,-327.9609,,57.0,15951641.557500001
57.15,,523.5981,5.9949,3823543.0,-327.9609,,57.15,15951416.116500001
57.3,,523.5911,5.7919,3823595.0,-327.9609,,57.3,15951202.861499999
57.45,,523.5836,5.7115,3823649.75,-327.9609,,57.45,15950974.374000002
57.6,,523.5761,5.5694,3823704.25,-327.9609,,57.6,15950745.8865
57.75,,523.5686,4.9633,3823759.25,-327.9609,,57.75,15950517.398999998
57.9,,523.5612,4.9592,3823812.5,-327.9609,,57.9,15950291.957999999
58.05,,523.5538,4.9592,3823867.0,-327.9609,,58.05,15950066.517
58.2,,523.5463,5.2512,3823921.75,-327.9609,,58.2,15949838.029499998
58.35,,523.5392,5.2676,3823973.5,-327.9609,,58.35,15949621.728000002
58.5,,523.5319,5.2676,3824027.5,-327.9609,,58.5,15949399.333499998
